review_id,case_id,ai_root_cause,human_verdict,failure_category,reviewer_corrections,reviewer_notes,reviewed_by,review_timestamp
REV-15,CASE-15,"HQ-Core router lacks a return route for the branch subnet 192.168.70.0/24, causing return packets to be dropped.",Accepted,None,,Asymmetric routing fault verified. Adding return static route restores full bidirectional communication.,Senior Network Architect,2026-08-29 20:18:00
REV-16,CASE-16,ACL 101 permits only ICMP traffic; HTTP (TCP port 80) and HTTPS (TCP port 443) traffic is blocked by the implicit 'deny ip any any' at the end of the ACL.,Accepted,None,,Correct. Implicit deny dropped TCP 80 while ICMP was explicitly permitted.,Senior Network Architect,2026-08-29 20:20:00
REV-17,CASE-17,The ACL rule was written with an inverted destination IP address.,Edited,Hallucination,Root Cause: Access-list FILTER_EXT_IN was applied as 'in' on internal LAN interface Gi0/0 instead of 'in' on external WAN interface Gi0/1. Fix: Remove 'ip access-group FILTER_EXT_IN in' from Gi0/0 and apply to Gi0/1.,"AI hallucinated that IP address numbers were inverted, whereas the real fault was directional placement ('in' applied on internal interface instead of WAN).",Senior Network Architect,2026-08-29 20:23:00
REV-18,CASE-18,Port number specification 'eq 80' was applied to the source port (client random ephemeral port) instead of the destination port.,Accepted,None,,Accurate Layer 4 port matching inspection. Fixed line 10 to match destination port eq 80.,Senior Network Architect,2026-08-29 20:25:00
REV-19,CASE-19,Standard ACL 10 should be deleted and the router reloaded.,Rejected,Overconfidence,"Root Cause: Standard ACL was improperly placed at source ingress, blocking Host A from entire network. Fix: Remove standard ACL from Gi0/0 and apply an Extended ACL 110 at egress near destination. NEVER reload production router.",AI proposed reloading router and deleting ACL globally without replacing it with an Extended ACL. Rejected due to safety violation and destructive recommendation.,Senior Network Architect,2026-08-29 20:28:00
REV-20,CASE-20,"Rule 30 explicitly denies all ICMP traffic, preventing echo-reply and ICMP Type 3 Code 4 (Fragmentation Needed) packets.",Accepted,None,,Correct. Path MTU discovery and ping were killed by blanket deny icmp any any.,Senior Network Architect,2026-08-29 20:30:00
REV-21,CASE-21,Interface GigabitEthernet0/0 (LAN) is missing the 'ip nat inside' configuration directive.,Accepted,None,,Confirmed in running config. Missing ip nat inside on Gi0/0 prevented translation table creation.,Senior Network Architect,2026-08-29 20:32:00
REV-22,CASE-22,Interface Serial0/0/0 (WAN) is missing the 'ip nat outside' configuration statement.,Accepted,None,,Correct. Traffic leaving WAN remained un-natted because Serial0/0/0 lacked ip nat outside.,Senior Network Architect,2026-08-29 20:34:00
REV-23,CASE-23,"The NAT statement is configured as 1-to-1 dynamic NAT without the 'overload' keyword, exhausting the single public IP after one host.",Accepted,None,,Accurate PAT diagnosis. Appending 'overload' allows port-level multiplexing.,Senior Network Architect,2026-08-29 20:36:00
REV-24,CASE-24,"Standard ACL 1 referenced by NAT does not permit subnet 192.168.30.0/24, preventing NAT translation for VLAN 30.",Accepted,None,,Verified in access-list 1 output. Adding permit 192.168.30.0 0.0.0.255 fixes VLAN 30 internet access.,Senior Network Architect,2026-08-29 20:38:00
REV-25,CASE-25,Static NAT statement maps external port 80 to internal port 22 (SSH) instead of port 80 (HTTP).,Accepted,None,,Correct port forwarding translation error identified and resolved.,Senior Network Architect,2026-08-29 20:40:00
REV-26,CASE-26,The Access Point radio is turned off.,Edited,Missing Evidence,Root Cause: Switch port Fa0/12 connected to the AP is configured as access mode on VLAN 1 instead of an 802.1Q trunk allowing VLAN 50. Fix: Configure Fa0/12 as trunk.,"AI assumed AP radio was offline despite show output stating 'Status: Carrier detect, beacon active'. Edited to switchport trunk misconfiguration on switch Fa0/12.",Senior Network Architect,2026-08-29 20:42:00
REV-27,CASE-27,Client configuration has an incorrect Pre-Shared Key ('CiscoSecure2025') mismatching the AP key ('CiscoSecure2026!').,Accepted,None,,MIC mismatch and 4-way handshake failure logs directly point to WPA2 PSK typo.,Senior Network Architect,2026-08-29 20:44:00
REV-28,CASE-28,Client DNS server address is configured as loopback IP 127.0.0.1 instead of the active enterprise DNS server 192.168.1.10.,Accepted,None,,Verified client ipconfig. Changing DNS from loopback to 192.168.1.10 fixes name resolution.,Senior Network Architect,2026-08-29 20:46:00
REV-29,CASE-29,DNS Server has incorrect static A records for intranet domain.,Edited,Incomplete Fix,Root Cause: DNS service daemon is toggled OFF in Server-01 Packet Tracer services. Fix: Turn DNS service state to ON in Server Services tab.,"AI suggested editing DNS records, but show services clearly showed 'DNS OFF'. Edited to turn the service ON.",Senior Network Architect,2026-08-29 20:48:00
REV-30,CASE-30,"Missing guest isolation ACL on sub-interface Gi0/0.90, allowing unrestricted inter-VLAN routing between Guest Wi-Fi and Corporate internal servers.",Accepted,None,,Security audit verified. Applying extended ACL GUEST_ISOLATION inbound on Gi0/0.90 restricts guest access to corporate subnets.,Senior Network Architect,2026-08-29 20:50:00
