case_id,domain,concept_tag,osi_layer,severity,symptom,topology_notes,show_outputs,ground_truth_fault,ground_truth_fix
CASE-19,ACL,Standard ACL Placement Flaw,Layer 3,Critical,Standard ACL designed to block Host A from accessing Server B inadvertently blocked Host A from accessing the entire enterprise network.,Host A (192.168.1.50) on Router R1 LAN. Server B (10.0.0.100) on remote Router R2. Standard ACL 10 applied inbound on R1 Gi0/0.,"R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 ip access-group 10 in

R1# show access-lists 10
Standard IP access list 10
    10 deny 192.168.1.50
    20 permit any","Standard ACL 10 was placed at the source ingress interface Gi0/0, blocking Host A from all destinations instead of placing an Extended ACL close to the destination.","R1# configure terminal
R1(config)# interface GigabitEthernet0/0
R1(config-if)# no ip access-group 10 in
R1(config)# ip access-list extended 110
R1(config-ext-nacl)# deny ip host 192.168.1.50 host 10.0.0.100
R1(config-ext-nacl)# permit ip any any
R1(config)# interface GigabitEthernet0/1
R1(config-if)# ip access-group 110 out
R1(config-if)# end"
CASE-20,ACL,ACL Blocking ICMP Diagnostic & PMTU,Layer 3,Low,Large packets drop silently and network engineers cannot perform diagnostic ping/traceroute across WAN link.,WAN Edge Router R-WAN1 connecting to Branch.,"R-WAN1# show access-lists 150
Extended IP access list 150
    10 permit tcp any any established
    20 permit udp any any eq domain
    30 deny icmp any any (1450 matches)
    40 permit ip any any","Rule 30 explicitly denies all ICMP traffic, preventing echo-reply and ICMP Type 3 Code 4 (Fragmentation Needed) packets.","R-WAN1# configure terminal
R-WAN1(config)# ip access-list extended 150
R-WAN1(config-ext-nacl)# no 30
R-WAN1(config-ext-nacl)# 30 permit icmp any any unreachable
R-WAN1(config-ext-nacl)# 35 permit icmp any any echo-reply
R-WAN1(config-ext-nacl)# 36 permit icmp any any time-exceeded
R-WAN1(config-ext-nacl)# end"
CASE-21,NAT,Missing IP NAT Inside Directive,Layer 3,Critical,Internal clients on LAN cannot access internet hosts; `show ip nat translations` is completely empty.,"Router R-Edge. Gi0/0 is LAN (192.168.1.1/24), Gi0/1 is WAN (203.0.113.2/30).","R-Edge# show ip nat translations
(No translations active)

R-Edge# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 duplex auto
 speed auto
! (Missing ip nat inside)

R-Edge# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 203.0.113.2 255.255.255.252
 ip nat outside",Interface GigabitEthernet0/0 (LAN) is missing the 'ip nat inside' configuration directive.,"R-Edge# configure terminal
R-Edge(config)# interface GigabitEthernet0/0
R-Edge(config-if)# ip nat inside
R-Edge(config-if)# end"
CASE-22,NAT,Missing IP NAT Outside Directive,Layer 3,Critical,"LAN clients have 'ip nat inside' on internal interface, but packets are routed out to ISP with un-translated private IPs.","Router R-Edge. Gi0/0 is LAN, Serial0/0/0 is WAN to ISP.","R-Edge# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 10.0.0.1 255.255.255.0
 ip nat inside

R-Edge# show running-config interface Serial0/0/0
interface Serial0/0/0
 ip address 198.51.100.2 255.255.255.252
! (Missing ip nat outside)",Interface Serial0/0/0 (WAN) is missing the 'ip nat outside' configuration statement.,"R-Edge# configure terminal
R-Edge(config)# interface Serial0/0/0
R-Edge(config-if)# ip nat outside
R-Edge(config-if)# end"
CASE-23,NAT,Missing PAT Overload Keyword,Layer 3,High,Only the first single host that accesses the internet works; all subsequent client connections fail completely.,Router R-Gateway performing Dynamic NAT over public interface GigabitEthernet0/0/1.,"R-Gateway# show running-config | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/0/1

R-Gateway# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
--- 203.0.113.1        192.168.1.5        ---                ---","The NAT statement is configured as 1-to-1 dynamic NAT without the 'overload' keyword, exhausting the single public IP after one host.","R-Gateway# configure terminal
R-Gateway(config)# no ip nat inside source list 1 interface GigabitEthernet0/0/1
R-Gateway(config)# ip nat inside source list 1 interface GigabitEthernet0/0/1 overload
R-Gateway(config)# end"
CASE-24,NAT,NAT Source ACL Subnet Exclusion,Layer 3,High,"Users in newly added VLAN 30 (192.168.30.0/24) cannot reach the internet, while VLAN 10 and 20 browse normally.",Router R1 has NAT enabled with ACL 1 matching traffic for translation.,"R1# show access-lists 1
Standard IP access list 1
    10 permit 192.168.10.0 0.0.0.255 (1520 matches)
    20 permit 192.168.20.0 0.0.0.255 (840 matches)
    (No permit statement for 192.168.30.0/24)

R1# show running-config | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/1 overload","Standard ACL 1 referenced by NAT does not permit subnet 192.168.30.0/24, preventing NAT translation for VLAN 30.","R1# configure terminal
R1(config)# access-list 1 permit 192.168.30.0 0.0.0.255
R1(config)# end"
CASE-25,NAT,Static NAT Port Translation Conflict,Layer 4,High,External internet clients attempting to reach internal Web Server at public IP 203.0.113.10 port 80 are redirected to SSH port 22.,Router R1 configured with static NAT port forwarding for DMZ Web Server (192.168.5.10).,"R1# show running-config | include ip nat inside source static
ip nat inside source static tcp 192.168.5.10 22 203.0.113.10 80 extendable

R1# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
tcp 203.0.113.10:80    192.168.5.10:22    ---                ---",Static NAT statement maps external port 80 to internal port 22 (SSH) instead of port 80 (HTTP).,"R1# configure terminal
R1(config)# no ip nat inside source static tcp 192.168.5.10 22 203.0.113.10 80
R1(config)# ip nat inside source static tcp 192.168.5.10 80 203.0.113.10 80 extendable
R1(config)# end"
CASE-26,Wireless,Wireless Access Point SSID VLAN Mismatch,Layer 2,High,Wireless laptop associates to 'Corporate-WiFi' SSID but cannot obtain an IP address or reach corporate intranet.,Lightweight AP AP-West connected to switch port Fa0/12. Corporate SSID expected on VLAN 50. Port Fa0/12 is untagged VLAN 1.,"SW-Access# show interfaces FastEthernet0/12 switchport
Name: Fa0/12
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)

AP-West# show interfaces dot11Radio 0
SSID Corporate-WiFi : VLAN 50 (tagged)
Status: Carrier detect, beacon active",Switch port Fa0/12 connected to the AP is configured as access mode on VLAN 1 instead of a trunk port allowing VLAN 50.,"SW-Access# configure terminal
SW-Access(config)# interface FastEthernet0/12
SW-Access(config-if)# switchport mode trunk
SW-Access(config-if)# switchport trunk allowed vlan 1,50,99
SW-Access(config-if)# end"
CASE-27,Wireless,WPA2 Pre-Shared Key Mismatch,Layer 2,Medium,Mobile devices cannot associate with Wireless Router 'Branch-WAP'; client logs indicate 4-Way Handshake Failure.,Linksys/Cisco WRT300N Wireless Router configured with WPA2-Personal (AES).,"Branch-WAP# show wireless security
SSID: Staff-Secure
Security Mode: WPA2-Personal
Encryption: AES
Pre-Shared Key: CiscoSecure2026!

Client-Log> Association Request: Sent
Client-Log> Association Response: Success
Client-Log> 802.1X/WPA 4-Way Handshake: Failed (MIC mismatch / Key incorrect)
Client-Log> Deauthenticated from AP (Reason 15: 4-Way Handshake timeout)",Client configuration has an incorrect Pre-Shared Key ('CiscoSecure2025') mismatching the AP key ('CiscoSecure2026!').,Update client wireless profile with correct Pre-Shared Key: 'CiscoSecure2026!'.
CASE-28,DNS,Invalid Client DNS Server Assignment,Layer 7,High,Users can ping external IP 8.8.8.8 successfully but cannot browse 'www.cisco.com' or any domain name.,Host PC-Finance. Primary DNS Server in lab is 192.168.1.10.,"PC-Finance> nslookup www.cisco.com
*** Can't find server address for '127.0.0.1': No response from server

PC-Finance> ipconfig
FastEthernet0 Connection:
   IP Address......................: 192.168.1.105
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.1.1
   DNS Servers.....................: 127.0.0.1",Client DNS server address is configured as loopback IP 127.0.0.1 instead of the active enterprise DNS server 192.168.1.10.,"PC-Finance> ipconfig /setdns 192.168.1.10
(Or in Packet Tracer GUI: Desktop -> IP Configuration -> DNS Server: 192.168.1.10)"
CASE-29,DNS,DNS Service Stopped on Server,Layer 7,Critical,All enterprise workstations report 'DNS Server not responding' when resolving local domain records.,Central Services Server Server-01 (192.168.10.200) hosting DNS service.,"Client> nslookup intranet.company.local 192.168.10.200
Server:  Server-01
Address:  192.168.10.200
*** Request to Server-01 timed out.
    timeout was 2 seconds.

Server-01# show services
Service           Status
-------           ------
HTTP              ON
DHCP              OFF
DNS               OFF
FTP               ON
EMAIL             OFF",The DNS Server daemon on Server-01 is turned OFF in Packet Tracer service configuration.,"On Server-01 in Cisco Packet Tracer:
1. Open Server-01 -> Services Tab -> DNS.
2. Toggle DNS Service Radio Button from 'OFF' to 'ON'.
3. Verify record 'intranet.company.local' points to 192.168.10.50."
